category|word|jword|jwordread|page|jpage|
0|Attribute-Only Tests|能力値テスト [ 能力 値 テスト]|のうりょくちてすと|4: p.54|4: p.59 / 4A: p.74|
0|Long Shots|ロングショット・テスト [ ロング ショット テスト]|ろんぐしょっとてすと|4: p.56|4: p.59 / 4A: p.74|
0|Target Number And Hits|ヒット [ ヒット]|ひっと|4: p.55|4: p.60 / 4A: p.75|
0|Buying Hits|ヒット の 購入 [ ヒット の 購入]|ひっとのこうにゅう|4: p.55|4: p.60 / 4A: p.75|
0|Glitches|グリッチ [ グリッチ]|ぐりっち|4: p.55|4: p.60 / 4A: p.75|
0|Critical Glitches|クリティカル・グリッチ [ クリティカル グリッチ]|くりてぃかるぐりっち|4: p.56|4: p.60 / 4A: p.75|
0|Rule of Six|6のルール [ 6 の ルール]|6のるーる|4: p.56|4: p.61 / 4A: p.76|
0|Success Tests|成功テスト [ 成功 テスト]|せいこうてすと|4: p.56|4: p.61 / 4A: p.76|
0|Opposed Tests|対抗テスト [ 対抗 テスト]|たいこうてすと|4: p.57|4: p.62 / 4A: p.76|
6|Difficulty Table|難易度表 [ 難易 度 表]|なんいどひょう|4: p.56|4: p.62 / 4A: p.76|
0|Opposed Test vs. a Group|集団 に対する 対抗 テスト [ 集団 に対する 対抗 テスト]|しゅうだんにたいするたいこうてすと|4: p.57|4: p.62 / 4A: p.77|
0|Extended Tests|継続テスト [ 継続 テスト]|けいぞくてすと|4: p.58|4: p.63 / 4A: p.77|
0|Quick Extended Tests|即決継続テスト [ 即決 継続 テスト]|そっけつけいぞくてすと|4: p.59|4: p.63 / 4A: p.78|
0|Extended Tests and Glitches|継続テストとグリッチ [ 継続 テスト と グリッチ]|けいぞくてすととぐりっち|4: p.59|4: p.63 / 4A: p.78|
6|Extended Test Difficulties|継続テストの難易度 [ 継続 テスト の 難易 度]|けいぞくてすととなんいど|4: p.58|4: p.63 / 4A: p.78|
6||継続テストの単位時間 [ 継続 テスト の 単位 時間]|けいぞくてすとのたんいじかん||4A: p.78|
0|Teamwork Test|チームワーク・テスト [ チーム ワーク テスト]|ちーむわーくてすと|4: p.59|4: p.64 / 4A: p.79|
0|Trying Again|テストの再挑戦 [ テスト の 再 挑戦]|てすとのさいちょうせん|4: p.59|4: p.64 / 4A: p.79|
0|Critical Success|クリティカル・サクセス [ クリティカル サクセス]|くりてぃかるさくせす|4: p.59|4: p.64 / 4A: p.79|
0|Spending Edge|エッジの使用 [ エッジ の 使用]|えっじのしよう|4: p.67|4: p.73 / 4A: p.90|
0|Regaining Edge|エッジの回復 [ エッジ の 回復]|えっじのかいふく|4: p.68|4: p.74 / 4A: p.92|
0|Burning Edge|エッジを燃やす [ エッジ を 燃やす]|えっじをもやす|4: p.68|4: p.74 / 4A: p.92|
6|Metatype Attribute Table|種族能力値表 [ 種族 能力値 表]|しゅぞくのうりょくちひょう|4: p.73|4: p.79 / 4A: p.99|
0|Choose Your Metatype|メタタイプの選択 [ メタ タイプ の 選択]|めたたいぷのせんたく|4: p.72|4: p.79 / 4A: p.99|
0||資質の選択 [ 資質 の 選択]|ししつのせんたく||4A: p.100|
0|Purchase Attributes|能力値の購入 [ 能力 値 の 購入]|のうりょうくちのこうにゅう|4: p.73|4: p.79 / 4A: p.100|
0|Acquire Skills|技能の獲得 [ 技能 の 獲得]|ぎのうのかくとく|4: p.74|4: p.81 / 4A: p.102|
0|Assigning Resources|資産の割り当て [ 資産 の 割り当て]|しさんのわりあて|4: p.84|4: p.91 / 4A: p.105|
6|Lifestyle Cost Table|ライフスタイルコスト表 [ ライフ スタイル コスト 表]|らいふすたいるこすとひょう|4: p.85|4: p.92 / 4A: p.106|
0|Magical Resources|魔法の資産 [ 魔法 の 資産]|まほうのしさん|4: p.85|4: p.93 / 4A: p.106|
0|Technomancer Resources|テクノマンサーの資産 [ テクノマンサー の 資産]|てくのまんさーのしさん|4: p.86|4: p.93 / 4A: p.107|
0|Starting Nuyen|開始時所持金 [ 開始 時 所持金]|かいしじしょじきん|4: p.86|4: p.94 / 4A: p.108|
6|Condition Monitor Boxes|コンディション・モニターのマス数 [ コンディション モニター の マス 数]|こんでぃしょんもにたーのますすう|4: p.86|4: p.94 / 4A: p.108|
6|Starting Money Table|開始時所持金表 [ 開始 時 所持金 表]|かいしじしょじきんひょう|4: p.86|4: p.94 / 4A: p.108|
0|Astral Chameleon (Quality)|アストラル・カメレオン (資質) [ アストラル カメレオン 資質]|あすとらるかめれおん|4: p.78|4: p.84 / 4A: p.110|
0|Adept (Quality)|アデプト (資質) [ アデプト 資質]|あでぷと|4: p.77|4: p.84 / 4A: p.110|
0|Murky Link (Quality)|おぼろなリンク (資質) [ おぼろな リンク 資質]|おぼろなりんく|4: p.79|4: p.84 / 4A: p.110|
0|Toughness (Quality)|頑強 (資質) [ 頑強 資質]|がんきょう|4: p.80|4: p.84 / 4A: p.110|
0|High Pain Tolerance (Quality)|苦痛に強い (資質) [ 苦痛 に 強い 資質]|くつうにつよい|4: p.78|4: p.84 / 4A: p.110|
0|Lucky (Quality)|幸運 (資質) [ 幸運 資質]|こううん|4: p.79|4: p.84 / 4A: p.110|
0|Quick Healer (Quality)|高速回復 (資質) [ 高速 回復 資質]|こうそくかいふく|4: p.80|4: p.84 / 4A: p.111|
0|Codeslinger (Quality)|コードスリンガー (資質) [ コード スリンガー 資質]|こーどすりんがー|4: p.78|4: p.84 / 4A: p.111|
0|Natural Immunity (Quality)|自然免疫 (資質) [ 自然 免疫 資質]|しぜんめんえき|4: p.79|4: p.84 / 4A: p.111|
0|Photographic Memory (Quality)|写真記憶 (資質) [ 写真 記憶 資質]|しゃしんきおく|4: p.80|4: p.85 / 4A: p.111|
0|Focused Concetration (Quality)|集中力 (資質) [ 集中 力 資質]|しゅうちゅうりょく|4: p.78|4: p.85 / 4A: p.111|
0|Double Jointed (Quality)|柔軟 (資質) [ 柔軟 資質]|じゅうなん|4: p.78|4: p.85 / 4A: p.111|
0|Natural Hardening (Quality)|生体信号耐性 (資質) [ 生体 信号 耐性 資質]|せいたいしんごうたいせい|4: p.79|4: p.85 / 4A: p.111|
0|Will to Live (Quality)|生への執着 (資質) [ 生 への 執着 資質]|せいへのしゅうちゃく|4: p.80|4: p.85 / 4A: p.111|
0|Sprit Affinity (Quality)|精霊との親和性 (資質) [ 精霊 との 親和性 資質]|せいれいとのしんわせい|4: p.80|4: p.85 / 4A: p.111|
0||存在抹消 (資質) [ 存在 抹消 資質]|そんざいまっしょう||4A: p.111|
0|First Impression (Quality)|第一印象 (資質) [ 第 一 印象 資質]|だいいちいんしょう|4: p.78|4: p.85 / 4A: p.112|
0|Exceptional Attribute (Quality)|卓越した能力値 (資質) [ 卓越 した 能力値 資質]|たくえつしたのうりょくち|4: p.78|4: p.85 / 4A: p.112|
0|Guts (Quality)|胆力 (資質) [ 胆力 資質]|たんりょく|4: p.78|4: p.85 / 4A: p.112|
0|Technomancer (Quality)|テクノマンサー (資質) [ テクノマンサー 資質]|てくのまんさー|4: p.80|4: p.85 / 4A: p.112|
0|Aptitude (Quality)|天賦の才 (資質) [ 天賦 の 才 資質]|てんぷのさい|4: p.77|4: p.86 / 4A: p.112|
0|Mentor Sprit (Quality)|導師精霊 (資質) [ 導師 精霊 資質]|どうしせいれい|4: p.79|4: p.86 / 4A: p.112|
0|Animal Empathy (Quality)|動物共感 (資質) [ 動物 共感 資質]|どうぶつきょうかん|4: p.77|4: p.86 / 4A: p.112|
0|Human-Looking (Quality)|ヒューマン風の外見 (資質) [ ヒューマン 風 の 外見 資質]|ひゅーまんふうのがいけん|4: p.78|4: p.86 / 4A: p.112|
